country,store,campaign,spend,sales,orders,clicks,impressions,days,acos,roas
美国,Store-00BC,US-Campaign-98D505,14564.15,252499.0,3303,47552,5355949,60,5.8,17.3
美国,Store-547D,US-Campaign-371B46,10744.41,187946.73,1772,13889,575071,60,5.7,17.5
美国,Store-00BC,US-Campaign-431F86,8684.53,155034.75,2109,29526,2738134,60,5.6,17.9
美国,Store-00BC,US-Campaign-743853,6582.03,137675.8,2108,35936,5306112,60,4.8,20.9
美国,Store-0D80,US-Campaign-3658A8,6477.53,97919.18,605,6479,650003,60,6.6,15.1
美国,Store-B10F,US-Campaign-E7964B,6450.42,59331.14,350,5325,667373,60,10.9,9.2
美国,Store-00BC,US-Campaign-039F42,5531.96,94574.33,1455,30092,4934481,60,5.8,17.1
美国,Store-547D,US-Campaign-ECE687,4921.9800000000005,41344.24,335,2717,390426,60,11.9,8.4
美国,Store-B10F,US-Campaign-618DC5,4699.86,39972.03,325,9546,1062635,44,11.8,8.5
美国,Store-3ED6,US-Campaign-66994F,4677.95,68940.95,1012,7265,551167,60,6.8,14.7
美国,Store-00BC,US-Campaign-0A30B7,4668.53,54531.75,483,4335,333228,60,8.6,11.7
美国,Store-00BC,US-Campaign-CB5777,4644.8,55528.84,874,16348,1626904,60,8.4,12.0
美国,Store-00BC,US-Campaign-89923B,4418.97,91269.72,719,5831,763517,60,4.8,20.7
美国,Store-941D,US-Campaign-ED571E,4231.09,35731.96,183,6005,651527,60,11.8,8.4
美国,Store-F590,US-Campaign-3983A8,3762.78,99515.89,542,4281,229303,60,3.8,26.4
美国,Store-00BC,US-Campaign-4C2C32,3671.96,40894.1,264,3314,312148,60,9.0,11.1
美国,Store-00BC,US-Campaign-065A45,3533.68,67520.36,592,3544,669604,60,5.2,19.1
美国,Store-547D,US-Campaign-E12257,3461.87,62844.27,629,11186,1399872,60,5.5,18.2
美国,Store-0D80,US-Campaign-5DE144,3364.24,57546.42,520,3766,326115,60,5.8,17.1
美国,Store-00BC,US-Campaign-527FF0,3218.59,26758.76,223,1781,250888,60,12.0,8.3
美国,Store-B10F,US-Campaign-89F01E,3077.43,27979.17,126,6087,449931,60,11.0,9.1
美国,Store-4CE4,US-Campaign-4C289D,3044.88,24442.58,41,2333,132375,60,12.5,8.0
美国,Store-F590,US-Campaign-392264,2927.09,58072.58,216,2140,157506,60,5.0,19.8
