country,match_type,keyword,campaign,current_bid,sweet_spot_bid,recommended_bid,action,impressions,orders,acos
US,BROAD,keyword-150448,US-Campaign-3658A8,0.65,0.1107136970496126,0.2801420838971583,decrease,12776000,10940,0.0644466155616271
US,BROAD,keyword-150448,US-Campaign-A4F8BA,0.96,0.1107136970496126,0.2801420838971583,decrease,3377473,5358,0.0652861782777118
US,BROAD,kw-3w-4948d1,US-Campaign-097A2B,0.48,0.1107136970496126,0.2801420838971583,decrease,2045809,111,0.0840450383902116
ES,BROAD,keyword-150448,Campaign-BE57E1,0.83,0.1474180865006553,0.1971257651641625,decrease,1935143,46,0.2742762873353249
US,EXACT,keyword-842f47,US-Campaign-4B3147,0.66,0.2222651261781696,0.66,maintain,1922903,1105,0.0596796819335218
US,BROAD,keyword-10016b,US-Campaign-B123BF,0.2,0.1107136970496126,0.2,maintain,1876302,527,0.1560286054337711
US,BROAD,keyword-10016b,US-Campaign-ED7612,0.2,0.1107136970496126,0.2,maintain,1667016,401,0.1354523647970641
US,PHRASE,keyword-5e85a2,US-Campaign-303625,0.4,0.1604592968007602,0.2876117268501966,decrease,1413528,23,0.2415040449455834
US,PHRASE,keyword-ef3327,US-Campaign-3AF4CC,0.69,0.1604592968007602,0.2876117268501966,decrease,1399390,795,0.0890698357846434
US,BROAD,kw-3w-1313c3,US-Campaign-0C7DFA,1.44,0.1107136970496126,0.2801420838971583,decrease,1380706,129,0.0475593375524454
US,BROAD,kw-3w-069d11,US-Campaign-362AC7,0.88,0.1107136970496126,0.2801420838971583,decrease,1341411,261,0.069749550757311
ES,BROAD,kw-4w-57ff50,Campaign-E8A52B,0.22,0.1474180865006553,0.1971257651641625,decrease,1321339,37,0.1396118482134834
US,PHRASE,keyword-150448,US-Campaign-89923B,0.5,0.1604592968007602,0.2876117268501966,decrease,1316727,2522,0.0295551872233738
US,BROAD,keyword-21c8a6,US-Campaign-16C850,0.98,0.1107136970496126,0.2801420838971583,decrease,1233735,140,0.046904464018518
US,BROAD,keyword-f252f4,US-Campaign-70D88F,1.8,0.1107136970496126,0.2801420838971583,decrease,1226358,58,0.1677648335815602
US,PHRASE,keyword-150448,US-Campaign-ECE687,0.81,0.1604592968007602,0.2876117268501966,decrease,1187676,3164,0.0533731817356196
US,PHRASE,keyword-881cc4,US-Campaign-3AC770,0.3,0.1604592968007602,0.2876117268501966,decrease,1187577,22,0.1653235501019581
US,BROAD,kw-3w-c3f3e2,Campaign-4064B8,0.66,0.1107136970496126,0.2801420838971583,decrease,1181150,83,0.0610626128059659
US,BROAD,keyword-1394e9,US-Campaign-B114A5,1.24,0.1107136970496126,0.2801420838971583,decrease,1158959,40,0.152609225648093
US,BROAD,kw-3w-02dbdd,US-Campaign-362AC7,1.38,0.1107136970496126,0.2801420838971583,decrease,1144547,170,0.1138257975615849
US,BROAD,kw-5w-7cbfe7,US-Campaign-F8F4C7,0.1,0.1107136970496126,0.1107136970496126,increase,1125385,38,0.1078253489573013
US,PHRASE,keyword-67cc12,US-Campaign-1EF783,0.77,0.1604592968007602,0.2876117268501966,decrease,1068494,955,0.082081027709565
US,BROAD,kw-3w-917660,US-Campaign-B114A5,1.01,0.1107136970496126,0.2801420838971583,decrease,1038257,59,0.1787391318592479
US,BROAD,kw-3w-9fd6af,US-Campaign-91623C,1.3,0.1107136970496126,0.2801420838971583,decrease,978434,39,0.2724581092263136
US,BROAD,keyword-dfdd6c,US-Campaign-89DD24,0.85,0.1107136970496126,0.2801420838971583,decrease,951283,206,0.2039378584099261
US,BROAD,kw-3w-2387eb,US-Campaign-0AB306,0.63,0.1107136970496126,0.2801420838971583,decrease,951142,107,0.0862552981691882
US,PHRASE,keyword-d8a48e,US-Campaign-476BCF,0.35,0.1604592968007602,0.2876117268501966,decrease,945343,13,0.1628994544037412
US,PHRASE,keyword-db3056,US-Campaign-91D073,0.7,0.1604592968007602,0.2876117268501966,decrease,923595,418,0.0781738560569445
CA,BROAD,keyword-98b966,CA-Campaign-AB267A,0.7,0.2935599159074982,0.41,decrease,889494,22,0.2172622157211019
US,BROAD,kw-4w-c26519,US-Campaign-CD5AB8,0.3,0.1107136970496126,0.2801420838971583,decrease,886354,79,0.0660134896244118
US,BROAD,kw-3w-59889d,US-Campaign-52DD2D,0.31,0.1107136970496126,0.2801420838971583,decrease,879781,71,0.0812925993519311
US,BROAD,keyword-8fc24a,US-Campaign-03CA2B,0.58,0.1107136970496126,0.2801420838971583,decrease,876097,170,0.1114204245749651
US,BROAD,kw-3w-8bc2b9,US-Campaign-431F86,0.2,0.1107136970496126,0.2,maintain,865598,406,0.1561091305401799
US,BROAD,kw-4w-3799ea,US-Campaign-AE5B52,0.3,0.1107136970496126,0.2801420838971583,decrease,852308,46,0.0688552283538965
US,BROAD,keyword-1a2b9d,US-Campaign-C77E6B,0.4,0.1107136970496126,0.2801420838971583,decrease,850993,22,0.0667370839533395
US,BROAD,keyword-603113,Campaign-07C746,0.8,0.1107136970496126,0.2801420838971583,decrease,840821,27,0.1356772609351228
US,BROAD,keyword-c84a22,US-Campaign-926036,0.5,0.1107136970496126,0.2801420838971583,decrease,838024,152,0.0523814554938896
IT,BROAD,kw-3w-c669af,IT-Campaign-15A060,0.21,0.1387337278106508,0.1706684491978609,decrease,836973,2,0.7145653876272514
FR,BROAD,kw-3w-b3534b,FR-Campaign-25D2A0,0.34,0.26,0.2232843137254902,decrease,835934,45,0.0923176270163945
CA,BROAD,keyword-69c5ef,CA-Campaign-80FAB1,0.55,0.2935599159074982,0.41,decrease,814159,65,0.1082185509293777
US,BROAD,keyword-150448,US-Campaign-342371,0.44,0.1107136970496126,0.2801420838971583,decrease,801171,495,0.0510126483300483
US,BROAD,keyword-07458a,US-Campaign-1CFC38,0.9,0.1107136970496126,0.2801420838971583,decrease,790731,207,0.0863340946939125
CA,BROAD,kw-3w-9730dc,CA-Campaign-CE56B9,0.55,0.2935599159074982,0.41,decrease,785364,33,0.1415737776577827
US,BROAD,keyword-150448,US-Campaign-614E3B,0.3,0.1107136970496126,0.2801420838971583,decrease,774916,878,0.0283980744780318
US,BROAD,keyword-10016b,US-Campaign-6656C1,0.3,0.1107136970496126,0.2801420838971583,decrease,753742,100,0.2194681409774169
US,BROAD,kw-3w-599c45,US-Campaign-84C17E,0.2,0.1107136970496126,0.2,maintain,750361,50,0.0355101188696557
CA,BROAD,keyword-e4c404,CA-Campaign-8C76CE,0.99,0.2935599159074982,0.41,decrease,748099,49,0.1186389454426511
US,BROAD,kw-3w-3ee36d,US-Campaign-16C850,0.7,0.1107136970496126,0.2801420838971583,decrease,745679,108,0.0262975932388519
CA,BROAD,kw-5w-8627d2,CA-Campaign-BA49FD,0.6,0.2935599159074982,0.41,decrease,744199,60,0.0446498786381973
US,PHRASE,keyword-91ca76,Campaign-913025,0.43,0.1604592968007602,0.2876117268501966,decrease,742928,309,0.0678671097387412
CA,BROAD,keyword-96a97c,CA-Campaign-BE6F22,0.45,0.2935599159074982,0.41,decrease,734677,28,0.0446435679190429
IT,PHRASE,keyword-150448,IT-Campaign-A20426,0.15,0.112657200811359,0.15,maintain,719032,603,0.0383834187903077
CA,BROAD,kw-4w-794d40,CA-Campaign-439E42,0.4,0.2935599159074982,0.4,maintain,716990,23,0.2571934825314895
DE,PHRASE,keyword-cbd6a7,DE-Campaign-F8A5DA,0.85,0.0757186081694402,0.259519014177819,decrease,715671,225,0.1761261372321803
CA,BROAD,keyword-05cf4e,CA-Campaign-E770CE,0.6,0.2935599159074982,0.41,decrease,710267,34,0.0875090334024721
US,PHRASE,keyword-3cff43,US-Campaign-ABBDB1,0.5,0.1604592968007602,0.2876117268501966,decrease,700845,591,0.1281297138436019
DE,BROAD,keyword-018226,DE-Campaign-EEC8F5,0.21,0.184690067214339,0.21,maintain,697337,81,0.3193867060033079
US,BROAD,kw-3w-157018,US-Campaign-294A03,0.86,0.1107136970496126,0.2801420838971583,decrease,691960,4,0.3359985222714798
US,BROAD,keyword-1ae56f,US-Campaign-673F7E,0.6,0.1107136970496126,0.2801420838971583,decrease,686109,338,0.0378060908366699
US,BROAD,kw-3w-cbaab2,US-Campaign-108F41,0.34,0.1107136970496126,0.2801420838971583,decrease,669230,78,0.0823683312135008
